Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
18,Video,Mid-stance,00:26.145,00:26.385,00:00.239,00:25.846,00:01.107,00:26.026,00:01.199
18,Video,Terminal stance,00:26.385,00:26.625,00:00.239,00:25.846,00:01.107,00:26.026,00:01.199
18,Video,Pre-swing,00:26.625,00:26.745,00:00.119,00:25.846,00:01.107,00:26.026,00:01.199
18,Video,Toe-off,00:26.745,00:26.901,00:00.155,00:25.846,00:01.107,00:26.026,00:01.199
18,Video,Mid-swing,00:26.901,00:27.069,00:00.167,00:25.846,00:01.107,00:26.026,00:01.199
18,Video,Terminal swing,00:27.069,00:27.225,00:00.155,00:25.846,00:01.107,00:26.026,00:01.199
19,CSV,Heel strike - Loading response,00:26.952,00:27.079,00:00.126,00:26.953,00:01.262,00:27.225,00:01.233
19,CSV,Mid-stance,00:27.079,00:27.331,00:00.252,00:26.953,00:01.262,00:27.225,00:01.233
19,CSV,Terminal stance,00:27.331,00:27.583,00:00.252,00:26.953,00:01.262,00:27.225,00:01.233
19,CSV,Pre-swing,00:27.583,00:27.710,00:00.126,00:26.953,00:01.262,00:27.225,00:01.233
19,CSV,Toe-off,00:27.710,00:27.874,00:00.164,00:26.953,00:01.262,00:27.225,00:01.233
19,CSV,Mid-swing,00:27.874,00:28.050,00:00.176,00:26.953,00:01.262,00:27.225,00:01.233
19,CSV,Terminal swing,00:28.050,00:28.214,00:00.164,00:26.953,00:01.262,00:27.225,00:01.233
19,Video,Heel strike - Loading response,00:27.225,00:27.348,00:00.123,00:26.953,00:01.262,00:27.225,00:01.233
19,Video,Mid-stance,00:27.348,00:27.594,00:00.246,00:26.953,00:01.262,00:27.225,00:01.233
19,Video,Terminal stance,00:27.594,00:27.841,00:00.246,00:26.953,00:01.262,00:27.225,00:01.233
19,Video,Pre-swing,00:27.841,00:27.964,00:00.123,00:26.953,00:01.262,00:27.225,00:01.233
19,Video,Toe-off,00:27.964,00:28.125,00:00.160,00:26.953,00:01.262,00:27.225,00:01.233
19,Video,Mid-swing,00:28.125,00:28.297,00:00.172,00:26.953,00:01.262,00:27.225,00:01.233
19,Video,Terminal swing,00:28.297,00:28.457,00:00.160,00:26.953,00:01.262,00:27.225,00:01.233
22,CSV,Heel strike - Loading response,00:31.138,00:31.233,00:00.095,00:31.138,00:00.954,00:31.123,00:01.366
22,CSV,Mid-stance,00:31.233,00:31.424,00:00.190,00:31.138,00:00.954,00:31.123,00:01.366
22,CSV,Terminal stance,00:31.424,00:31.614,00:00.190,00:31.138,00:00.954,00:31.123,00:01.366
22,CSV,Pre-swing,00:31.614,00:31.710,00:00.095,00:31.138,00:00.954,00:31.123,00:01.366
22,CSV,Toe-off,00:31.710,00:31.834,00:00.124,00:31.138,00:00.954,00:31.123,00:01.366
22,CSV,Mid-swing,00:31.834,00:31.967,00:00.133,00:31.138,00:00.954,00:31.123,00:01.366
22,CSV,Terminal swing,00:31.967,00:32.091,00:00.124,00:31.138,00:00.954,00:31.123,00:01.366
22,Video,Heel strike - Loading response,00:31.123,00:31.259,00:00.136,00:31.138,00:00.954,00:31.123,00:01.366
22,Video,Mid-stance,00:31.259,00:31.532,00:00.273,00:31.138,00:00.954,00:31.123,00:01.366
22,Video,Terminal stance,00:31.532,00:31.806,00:00.273,00:31.138,00:00.954,00:31.123,00:01.366
22,Video,Pre-swing,00:31.806,00:31.942,00:00.136,00:31.138,00:00.954,00:31.123,00:01.366
22,Video,Toe-off,00:31.942,00:32.120,00:00.177,00:31.138,00:00.954,00:31.123,00:01.366
22,Video,Mid-swing,00:32.120,00:32.311,00:00.191,00:31.138,00:00.954,00:31.123,00:01.366
22,Video,Terminal swing,00:32.311,00:32.488,00:00.177,00:31.138,00:00.954,00:31.123,00:01.366
23,CSV,Heel strike - Loading response,00:32.091,00:32.215,00:00.123,00:32.092,00:01.231,00:32.489,00:01.267
23,CSV,Mid-stance,00:32.215,00:32.461,00:00.246,00:32.092,00:01.231,00:32.489,00:01.267
23,CSV,Terminal stance,00:32.461,00:32.707,00:00.246,00:32.092,00:01.231,00:32.489,00:01.267
23,CSV,Pre-swing,00:32.707,00:32.830,00:00.123,00:32.092,00:01.231,00:32.489,00:01.267
23,CSV,Toe-off,00:32.830,00:32.990,00:00.160,00:32.092,00:01.231,00:32.489,00:01.267
23,CSV,Mid-swing,00:32.990,00:33.162,00:00.172,00:32.092,00:01.231,00:32.489,00:01.267
23,CSV,Terminal swing,00:33.162,00:33.323,00:00.160,00:32.092,00:01.231,00:32.489,00:01.267
23,Video,Heel strike - Loading response,00:32.488,00:32.615,00:00.126,00:32.092,00:01.231,00:32.489,00:01.267
23,Video,Mid-stance,00:32.615,00:32.869,00:00.253,00:32.092,00:01.231,00:32.489,00:01.267
